Sat Dec 16 04:52:28 +0000 2017,La La Land,,": I come from a low income family, I arrived on campus with just $120.00 in my pocket. First year, I was on acade"
Sat Dec 16 04:52:28 +0000 2017,United States,,": I come from a low income family, I arrived on campus with just $120.00 in my pocket. First year, I was on acade"
Sat Dec 16 04:52:28 +0000 2017,"Georgia, USA",,": I come from a low income family, I arrived on campus with just $120.00 in my pocket. First year, I was on acade"
Sat Dec 16 04:52:28 +0000 2017,United States,,": I come from a low income family, I arrived on campus with just $120.00 in my pocket. First year, I was on acade"
Sat Dec 16 04:52:28 +0000 2017,Papertrail,,": I come from a low income family, I arrived on campus with just $120.00 in my pocket. First year, I was on acade"
Sat Dec 16 04:52:29 +0000 2017,"Houston, TX",,"Essentially if you break the law you go to jail, if he didnt want to get arrested shouldve sold his brownies some"
Sat Dec 16 04:52:32 +0000 2017,"Dar es Salaam, Tanzania",,: rt if you're poor
Sat Dec 16 04:52:34 +0000 2017,Washington state,,: Nearly million veterans received Social Security Disability Insurance benefits in but Trump wants to add mor
Sat Dec 16 04:52:36 +0000 2017,seattle,,Noa's Hunger Games- Part ! Who will make it out alive today?!? 8
Sat Dec 16 04:52:43 +0000 2017,Arctic Northwest,,"Yep, I worked my whole life and the Libs want me to work more to support their poor choices"
Sat Dec 16 04:52:48 +0000 2017,Everywhere marketers are.,,Assessing the impact of poor data on retail: The -10-100 rule by
Sat Dec 16 04:52:48 +0000 2017,"Yonkers, NY",,: trigger warning!!! this is abuse. this is degrading. this is next level fucked up shit. and that poor boy is fucki
Sat Dec 16 04:52:49 +0000 2017,"Brisbane, Australia",,"Jesus, it looks like half of the countries politicians are in today. You poor poor bastards"
Sat Dec 16 04:52:50 +0000 2017,East of Eden,,: The pending tax bill is basically Republican piggery; another case of the rich man dancing while the poor man pays the ban
Sat Dec 16 04:52:53 +0000 2017,Kazakhstan,,Poor Hats off to
Sat Dec 16 04:52:55 +0000 2017,Philippines,,Poor little girls!
Sat Dec 16 04:52:55 +0000 2017,PonyVille,,If the fcc gets their way and ittl cost money to use twitter I'll have to leave it forever cause I'm poor and I hav u
Sat Dec 16 04:52:56 +0000 2017,"Birmingham, MI",,": Unlike the hero of a familiar classic story, the GOP steals from the middle class and poor to give t"
Sat Dec 16 04:52:57 +0000 2017,"Rosamond, CA",,": So donate more of your money to the federal government, you greedy miser."
Sat Dec 16 04:52:57 +0000 2017,Colorado,,": Trump bans any mention of facts, diversity, or being poor at government agency via"
Sat Dec 16 04:52:58 +0000 2017,Everywhere,,...unemployment and hunger rate by unfriendly policies. A shut down business cannot pay tax arrears. Reach a compromise
Sat Dec 16 04:52:58 +0000 2017,FUB Free,,: poor guy..like we all joke about whaling but. gamblings a serious addiction even if its a gacha game d
Sat Dec 16 04:53:01 +0000 2017,TBL  ,,poor mikey I've always been scared of the slight age bias
Sat Dec 16 04:53:02 +0000 2017,"Tennessee, USA",,I love how you always tell it like it is!!! That poor baby doesn't deserve to be bulli
Sat Dec 16 04:53:03 +0000 2017,"Maharashtra, India",,": Recently, poor poor workers were murdered in execution style killings. All were and min"
Sat Dec 16 04:53:02 +0000 2017,searching for happiness,,: : Her exquisite ball gown is crimson with the blood of the poor.
Sat Dec 16 04:53:05 +0000 2017,MOST LIKELY at a Concert,,": DREAMers in custody, refusing to give their names to police & going on hunger strike. With repealed, there'"
Sat Dec 16 04:53:06 +0000 2017,India,,Assessing the impact of poor data on retail: The -10-100 rule by addressytom
Sat Dec 16 04:53:08 +0000 2017,"Louisville, KY",,: Writing is not something people do because they looked at the world dispassionately and decided literature is what
Sat Dec 16 04:53:09 +0000 2017,"Augusta, GA",,": Lesbian, Gay, Bi, Ugly, Fine, Rich, Poor, Skinny, Fat, Short, Tall, Black, White, Purple, A FRIEND IS A FRIEND! RETWEET if y"
Sat Dec 16 04:53:10 +0000 2017,Cleveartica ,,: Trump & Republicans are a DISGRACE.1.455 Trillion added to the debt destroying the middle class and the poor. Trump
Sat Dec 16 04:53:13 +0000 2017,United States,,Assessing the impact of poor data on retail: The -10-100 rule by addressytom
