Sun Dec 17 00:37:22 +0000 2017,North Carolina,,I do agree. We should stick out. John has been an example for me to do that. Look ou
Sun Dec 17 00:37:23 +0000 2017,724,,Because half of the poor people keep voting for people who want to eliminate them?
Sun Dec 17 00:37:24 +0000 2017,,Sudan,": More than half of South Sudan's children have suffered abuse, trauma, & hunger over the past years"
Sun Dec 17 00:37:24 +0000 2017,Canada,,: ELIZABETH - The Rich Young Bitch And The Poor Professor - Foot Domination And Humiliation
Sun Dec 17 00:37:26 +0000 2017,"Nashville, TN",,": The is on a mission to make life hard for the poor & middle class. In order to fix this, we must"
Sun Dec 17 00:37:27 +0000 2017,"england ; uk , 1/2 of TLMMT",,: oh diddums why must mummy n daddy be so rich!!!! why cant a have ALL the poor people money?!?!! filthy peasa
Sun Dec 17 00:37:29 +0000 2017,"Pittsburgh, PA by way of NY",,: Poor Trump supporters get hit the worse.
Sun Dec 17 00:37:30 +0000 2017,"Naples, FL",,: Cutting the 'Individual Mandate' from the ACA (Obamacare) will throw Million people off the healthcare roles. NO
Sun Dec 17 00:37:31 +0000 2017,"Midland, MI",,You forget the Wall Street traders. Have you no sympathy for the poor Wall Street trader?
Sun Dec 17 00:37:31 +0000 2017,Met Shawn 4/22/15 & 7/23/16,,: I just got goosebumps and I want to cry. THIS is EXACTLY why I RESUSE to take my child to a daycare or hire a sitt
Sun Dec 17 00:37:35 +0000 2017,Lubbock Texas,,"Poor LaMotte, Brett wouldnt give him the time of day, and Ashton gets him killed."
Sun Dec 17 00:37:38 +0000 2017,"Thomasville, NC",,Poor ole fellow wants someone to play with!
Sun Dec 17 00:37:38 +0000 2017,BC,Canada,": How anyone can own a Canada Goose coat is beyond me, the way those poor animals suffer for a coat is disgusting"
Sun Dec 17 00:37:39 +0000 2017,Party Island,,"What was the SCP that made everything really verbose and turned a post-it note with ""I hate poor people"" on it into"
Sun Dec 17 00:37:41 +0000 2017,Kennaquhair,,"Poor, poor Nigel. In fact his sacrifice is one that will affect everyone apart from him. k pension"
Sun Dec 17 00:37:44 +0000 2017,John 15:13,,: HAHAHA poor dog
Sun Dec 17 00:37:45 +0000 2017,STL,,Only poor Trump supporters would watch it so it would fold within days
Sun Dec 17 00:37:45 +0000 2017,Scotland,,It requires to go both ways people who are poor disabled vulnerable homess etc are on the rise as are
Sun Dec 17 00:37:46 +0000 2017,Isle of Man ,,Rubbish so poor
Sun Dec 17 00:37:47 +0000 2017,"Banff, Scotland",,: oh diddums why must mummy n daddy be so rich!!!! why cant a have ALL the poor people money?!?!! filthy peasa
Sun Dec 17 00:37:48 +0000 2017,UK Based,,Would you say the problem is there are very few rel world equivalents of poor medical conduct? Is th U
Sun Dec 17 00:37:49 +0000 2017,"Dublin City, Ireland",,Bad thing about being poor is I cant buy your merch.
Sun Dec 17 00:37:50 +0000 2017,London,,": Poor parenting, if you gotta embarrass your child to make them behave you need to question yourself not make them s"
Sun Dec 17 00:37:51 +0000 2017,Westfield IN,,"Find a woman who thinks youre gonna be poor your whole life, fall in love with her, marry her then spoil the hell out of her -Dad"
Sun Dec 17 00:37:53 +0000 2017,"Connecticut, USA",,Unfortunately Im poor and have a wiiu
Sun Dec 17 00:37:55 +0000 2017,Singapore,,"Hahahaah enjoying themselves, poor suga."
Sun Dec 17 00:37:56 +0000 2017,Violence Rd,,: my ajit pai drawing really annoyed a sect of right-wing folks who don't like that i made fun of the poor little guy
Sun Dec 17 00:37:56 +0000 2017,France,,: Beggarmys are blaming E for poor sales in the Olympics when no announcement regarding official performers nor end
Sun Dec 17 00:37:56 +0000 2017,"Manchester, England",,": i may be depressed, poor, single, unmotivated and bitter.... but at least im not local twitter"
Sun Dec 17 00:37:56 +0000 2017,Malaysia,,: my ajit pai drawing really annoyed a sect of right-wing folks who don't like that i made fun of the poor little guy
Sun Dec 17 00:37:57 +0000 2017,,Ohio,": Ohio, th worst unemployment, worst in US opioid deaths, rd worst hunger, nd worst air. http"
Sun Dec 17 00:37:57 +0000 2017,5/4 1d aimh,,: Poor Louis Tomlinson cant control over his mouth I mean the lyrics is cause I cant compete with your boyfriend
Sun Dec 17 00:37:58 +0000 2017,IG and Snap: eddluxe,,: You know how long you're going to be working if your goal is to work your way OUT of poverty via minimum wage? IJS
Sun Dec 17 00:37:58 +0000 2017, Md.,,: Please RT and help save this poor kitty
Sun Dec 17 00:37:58 +0000 2017,Scotland,,"I'm sad I missed The Hunger Games on TV tonight, even though I own it. You can't beat The Hunger Games (unless it's Harry Potter)."
Sun Dec 17 00:37:58 +0000 2017,"Maryland, USA",,Im poor or would slide you the burger
Sun Dec 17 00:38:03 +0000 2017,Europe,,: Isn't it Amazing that all we heard about from for years was the Debt? Now for people who
Sun Dec 17 00:38:04 +0000 2017,Polar Vortex,,"I guess Boris can wear handspun garments only. He needs to go on hunger strikes. Then once Brexit, UK has a bloody"
Sun Dec 17 00:38:05 +0000 2017,Sverige,Australia,": : Therell never be Sharia law in Australia, you bigots. Youre all just paranoid racists. Theyre just poor r"
Sun Dec 17 00:38:05 +0000 2017,"Florida, USA",,: GOP wants to bankrupt nation in order to destroy SS / MEDICARE / MEDICAID / CHIP / ACA! Wonder how
Sun Dec 17 00:38:06 +0000 2017,IG and Snap: eddluxe,,: I am sick and tired of hearing that it's everybody's job but mine to lift me up out of poverty.
Sun Dec 17 00:38:08 +0000 2017,"Houston, Texas",,": Analysis | U.S. lawmakers are redistributing income from the poor to the rich, according to massive new study"
Sun Dec 17 00:38:08 +0000 2017,Where Bigfoot Live,,": If socialists wanted to help the poor so much, why didn't they study and promote Bitcoin, rather than whining about div"
Sun Dec 17 00:38:10 +0000 2017,oc / mirrored lit,,i havLost the keys to my APARTMENT IM STUCK OUTSIDE PLS HOUSE A POOR COLLEGE BOY
Sun Dec 17 00:38:10 +0000 2017, ,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:38:11 +0000 2017,With your wife,,"No problem, nothing worse than a poor liberal that complains about this co"
Sun Dec 17 00:38:12 +0000 2017,Tralee Kerry Ireland.,,Poor to all Governments means Protecting Our Own Rights instead of protecting the rights of the people who vote for d
Sun Dec 17 00:38:14 +0000 2017,"Affton, MO",,You poor triggered snowflake.
Sun Dec 17 00:38:14 +0000 2017,"Cleveland, OH - San Diego, CA",,John Oliver on Last Week Tonight. Wealth Gap. Difference between rich and poor...
Sun Dec 17 00:38:14 +0000 2017,Sverige,,If you hunger for a barnyard fowls dinner stop by stream and he will tell you what a barnyard fowl is
Sun Dec 17 00:38:15 +0000 2017,snbchf.com ,,": Is The NFL's Problem 'Poor Product', Not 'Disrespect'?"
Sun Dec 17 00:38:16 +0000 2017,"malaysia,sabah.",,: Poor liner and They did it again made it worst! fo
Sun Dec 17 00:38:16 +0000 2017,WV,,If youre wondering how my ENTIRE semester went its really similar to this poor girls first final
Sun Dec 17 00:38:18 +0000 2017,Colorado. Higher is better!,,These poor bastards still think he is going to save them. wow
Sun Dec 17 00:38:18 +0000 2017,"Southport, United Kingdom",,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sun Dec 17 00:38:18 +0000 2017,UK,,: Oh dear. Killing for fun. Prince Harrys not so nice after all. Diana would be disappointed. Poor Meghan Markle.
Sun Dec 17 00:38:19 +0000 2017,"Belfast, Northern Ireland",,": Poor parenting, if you gotta embarrass your child to make them behave you need to question yourself not make them s"
Sun Dec 17 00:38:19 +0000 2017,"Denver, CO",,Stealing from the poor to give to the rich!
Sun Dec 17 00:38:19 +0000 2017,"Virginia, USA",,hunger is the best seasoning
Sun Dec 17 00:38:21 +0000 2017,"the Bronx, NY",,It's too Hunger Games
Sun Dec 17 00:38:23 +0000 2017,[REDACTED],,Republicans: hate poor people in a racist way Democrats: also hates poor people just not racistly
Sun Dec 17 00:38:25 +0000 2017,East of Eden,,Sue those bastards into the poor house.
Sun Dec 17 00:38:26 +0000 2017,"Charlotte, NC",,A poor person with a library need not remain poor forever.
Sun Dec 17 00:38:27 +0000 2017,ndhs soph,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:38:27 +0000 2017,"Notre Dame , Indiana",,": If socialists care about the poor, why didnt they <rolls dice> buy VR headsets instead of <rolls dice> tending org"
Sun Dec 17 00:38:28 +0000 2017,"New Orleans, LA",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:38:31 +0000 2017,"Bengaluru, India",,": ""Some people are so poor, all they have is money."""
Sun Dec 17 00:38:31 +0000 2017,San Antonio,,: Isn't it Amazing that all we heard about from for years was the Debt? Now for people who
Sun Dec 17 00:38:31 +0000 2017,National Capital Region,,": It's not that the photoshoot of Isabelle Duterte is illegal, it's just that rn, the poor are getting visibly poorer"
Sun Dec 17 00:38:32 +0000 2017,Toronto's Rainbow Village,,"When you grow up in abject poverty, your parents are too burdened with their own poverty to care for you, it can ma"
Sun Dec 17 00:38:33 +0000 2017,Machilipatnam,,: Bail-in using poor depositors' funds. What happens to borrowers and bank managements? Go scot free. Private profits
Sun Dec 17 00:38:33 +0000 2017,PDubbing La La Land ,,Why Im seeing this on my timeline? My eyes my poor eyes & Paul was like breathe in breathe out
Sun Dec 17 00:38:33 +0000 2017,"San Francisco,",,: Starting today you are no longer allowed to use these words when praying or tweeting at Me: Poor Sick Help Compa
Sun Dec 17 00:38:34 +0000 2017,"California, USA",,Nah they already losing to other big box chains Its bankruptcy in first quarter U
Sun Dec 17 00:38:28 +0000 2017,"Los Angeles, CA",,"What is how can we give a tax cut to the wealthiest while screwing the poor and middle class, Alex"
Sun Dec 17 00:38:38 +0000 2017,Manila,,": People often claim to hunger for truth, but seldom like the taste when its served up. George R.R. Martin, A Clash"
Sun Dec 17 00:38:41 +0000 2017,"California, USA",,NEW VIDEO IS UP! NOOO NOT THE WHITE SHOES! and poor bird WATCH IT! Ily / DM? x31
Sun Dec 17 00:38:42 +0000 2017,"Pennsylvania, USA",,Hhah poor Kelton getting picked on haha
Sun Dec 17 00:38:43 +0000 2017,"BR, Louisiana ",,: This is what folks fundamentally dont get about caste. Doesnt mean there are no poor white people. Means black
Sun Dec 17 00:38:43 +0000 2017,jmhj,,mutuals like to be in my first official hunger games sim (idea from jam)
Sun Dec 17 00:38:44 +0000 2017,"Nashville, TN",,Lol Gaines was drafted bc he could press and was a pass deflection beast..he cant even do that anymore tho poor kid
Sun Dec 17 00:38:46 +0000 2017,Machilipatnam,,Retweeted Ashok Khemka (): Bail-in using poor depositors' funds. What happens to borrowers and...
Sun Dec 17 00:38:48 +0000 2017,"Johnstown, PA",,: Isn't it Amazing that all we heard about from for years was the Debt? Now for people who
Sun Dec 17 00:38:48 +0000 2017,Pop's,,: honestly I think poor betty is just really sexually frustrated and was barely getting by with just kisses from jugh
Sun Dec 17 00:38:49 +0000 2017,Hong Kong & Netherlands,,"By Poor Mans Laser Scanner Probably Wont Shoot Your Eye Out, Kid"
Sun Dec 17 00:38:49 +0000 2017, he/him,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:38:52 +0000 2017,United States,,"What is ""the poor""? as the saying goes, the poor are out of luck.."
Sun Dec 17 00:38:53 +0000 2017,904,,: ummmmn catch ya girl learning how to do the whole bitcoin thing bc im poor and sad and need a job that isnt sex wor
Sun Dec 17 00:38:53 +0000 2017,"Los Angeles, CA",,": Those who truly loves the poor people, then and now."
Sun Dec 17 00:38:54 +0000 2017,atlanta,,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sun Dec 17 00:38:55 +0000 2017,"San Francisco, CA",,"I too have many, many feelings. Poor was subjected to most of them earlier today, h"
Sun Dec 17 00:38:55 +0000 2017,ksj  |  aemz  |  kth,,This poor little baby D
Sun Dec 17 00:38:57 +0000 2017,"Coimbra, Portugal",,: Tu es poor
Sun Dec 17 00:38:58 +0000 2017,exo + svt,,im really poor so if any one wanna buy my friends christmas presents for me that would be fantastic
Sun Dec 17 00:38:58 +0000 2017,Park Slope Brooklyn Nyc,,": In December , gave out free coal to poor families in Baltimore. He later said it caused me to"
Sun Dec 17 00:39:00 +0000 2017,"Indianapolis, IN",,: How describes poor starts: Failure to remember lines of the script when the curtain opens
Sun Dec 17 00:39:01 +0000 2017,The 510 CA,,That's true but why are those claims only levelled against the Liberals? Probably more GOP folks poor &welfare?
Sun Dec 17 00:39:03 +0000 2017,Trinidad & Tobago,,charged with obstructing traffic after Maloney residents set fire to debris along CR Highway in protest over poor water supply
Sun Dec 17 00:39:03 +0000 2017,"Mitten State, USA",,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:39:03 +0000 2017,"Connecticut, USA",,Keep suckling the teets of sean Hannity and the state run propaganda machine you poor disillus
Sun Dec 17 00:39:03 +0000 2017,"Houston, TX",,: Ghetto is not an adjective. It is a noun. The world has made it an adjective as a way to mock Black people & poor
Sun Dec 17 00:39:05 +0000 2017,ROOM 422,,To be poor without murmuring is difficult. To be rich without being proud is easy.
Sun Dec 17 00:39:05 +0000 2017,"Baltimore, MD",,: The polar bear depicted in a viral video was seemingly exhausted from hunger and was believed to be hours from deat
Sun Dec 17 00:39:07 +0000 2017,United States,,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:39:07 +0000 2017,Freddy Fazbear's Pizzeria,,henry denies it tho so he don't deal poor william
Sun Dec 17 00:39:07 +0000 2017,#BLM,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:39:06 +0000 2017,fl / nsa,,ish vv v poor
Sun Dec 17 00:39:07 +0000 2017,BLM,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:39:10 +0000 2017,"Tupper Lake, NY",,: this poor girl lmfao i'm crying tho U
Sun Dec 17 00:39:12 +0000 2017,"Somewhere in the Midwest, USA",,: No off the hook bullshit. I want him in jail humiliated and poor. Everyone that is complicit the same t
Sun Dec 17 00:39:12 +0000 2017,somewhere far away from here,,: Poor Louis Tomlinson cant control over his mouth I mean the lyrics is cause I cant compete with your boyfriend
Sun Dec 17 00:39:13 +0000 2017,"Harrisonburg, VA",,"Stuckey Mosley drives the lane for a layup and after a poor attempt for FIU, McLean knocks down a triple and Anthon"
Sun Dec 17 00:39:13 +0000 2017,"Boulder, CO",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:39:14 +0000 2017,Verenigde Staten,,: Put your temper to more use 'Cause being broke's a poor excuse That should only give you more fuel Show 'em why you're yo
Sun Dec 17 00:39:15 +0000 2017,Dimension D,,"But, O'Chunks, before you let your game be over, humor poor me for a bit."
Sun Dec 17 00:39:17 +0000 2017,Diego Martin,,: charged with obstructing traffic after Maloney residents set fire to debris along CR Highway in protest over poor water supply
Sun Dec 17 00:39:18 +0000 2017,"171119, we made history.",,"LIKE I WOULD COMMISSION, BUT I'M POOR"
Sun Dec 17 00:39:19 +0000 2017,"New Jersey, USA",,"I think EA is bad, but they are far from the worst. EA at least has consequences for their poor custom 8"
Sun Dec 17 00:39:19 +0000 2017,jaydah kyana jen || she/her,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:39:19 +0000 2017,"Eugene, OR",,: A -yard penalty for use of an ineligible typeface downfield. Offsides penalty for poor letterspacing. Unsportsman
Sun Dec 17 00:39:21 +0000 2017,"Tampa, Florida",,: POOR BLADE IS DEAD WAS A SWEET HUMBLE BOY DECEIVED BY HEARTLESS OWNER SUFFERED LONG PAINFUL AGONY ANIMAL CARE
Sun Dec 17 00:39:21 +0000 2017,United States of America,,Awwww. Poor fevered/frozen/fell-off-a-boat Kowalski doesn't know what the heck is going on.
Sun Dec 17 00:39:23 +0000 2017,#BlackLivesMatter,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:39:24 +0000 2017,"Londres , Hackney",,": Poor parenting, if you gotta embarrass your child to make them behave you need to question yourself not make them s"
Sun Dec 17 00:39:25 +0000 2017,Montevideo,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:39:28 +0000 2017,"Petaling, Selangor",,: Poor PSG.
Sun Dec 17 00:39:28 +0000 2017,"Arizona, USA",,": Apparently Im the poor black guy that got accosted by young Tories. For those who were worried, I can confirm"
Sun Dec 17 00:39:29 +0000 2017,"Pittsburgh, PA.",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:39:31 +0000 2017,"Tempe, AZ",,": Poor . Reduced to a board game. Tisk tisk. Al, its only weather."
Sun Dec 17 00:39:32 +0000 2017,"Ohio, USA",,"Zak Bagans, you poor, asthmatic bastard."
Sun Dec 17 00:39:32 +0000 2017,NH,,"We need a list other then the obvious ones we might know. Poor Ivanka, she just opened her little entitlement shop."
Sun Dec 17 00:39:34 +0000 2017,Hertfordshire,,Slight problem at how poor I am
Sun Dec 17 00:39:35 +0000 2017,"Hyderabad, India",,: Luv had tears in his eyes while watching HINA during the special screening! Poor guy HOPE he plays INDIVIDUAL now!
Sun Dec 17 00:39:35 +0000 2017,"Queen Creek, AZ",,": Apparently Im the poor black guy that got accosted by young Tories. For those who were worried, I can confirm"
Sun Dec 17 00:39:36 +0000 2017,Missouri ,,": For those of us with , poor may trigger migraine attacks, where good quality is protective &"
Sun Dec 17 00:39:37 +0000 2017,"Leavenworth, KS",,I think I killed that poor emery board (on the right)... lol
Sun Dec 17 00:39:38 +0000 2017,shadow squad.,,poor jaime
Sun Dec 17 00:39:40 +0000 2017,ORLANDO FL.,,: They blatantly steal from Americas poor and working classes to line their own pockets. We are all held hostage unt
Sun Dec 17 00:39:40 +0000 2017,Camden Town,,": Apparently Im the poor black guy that got accosted by young Tories. For those who were worried, I can confirm"
Sun Dec 17 00:39:43 +0000 2017,andrea susi olivia,,this is so cute my poor heart D
Sun Dec 17 00:39:44 +0000 2017,Angel's Claw Guild Hall.,,"""Poor cat. Jeez Hikari. Still bad with animals...?"""
Sun Dec 17 00:39:44 +0000 2017,"Nashville, TN",,": Poor guy, he figured if Trump can be president than I can be a judge."
Sun Dec 17 00:39:44 +0000 2017,Drowning ,,"Awww, nobody wants to be you! You poor, insecure, lying ass creature. Raise your self esteem first before you get on this app"
Sun Dec 17 00:39:45 +0000 2017,Louisiana,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:39:46 +0000 2017,"Wantage, England",,"Very young side out today and very proud of the performance, even though we suffered a loss, we domin"
Sun Dec 17 00:39:47 +0000 2017,"California, USA",,Such a pile of crap by Rupert Murdoch's poor excuse for unbiased news. Should we remind you that trump won because
Sun Dec 17 00:39:47 +0000 2017,the good old 801,,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:39:49 +0000 2017,Newton (Snooton) MA,,You want to know what hunger and desperation is ? Having to survive on dead frozen elf for a month d
Sun Dec 17 00:39:50 +0000 2017,"Pittsburgh, Pennsylvania",,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sun Dec 17 00:39:53 +0000 2017,Tu rehnde,,. Conspiracy theories on how the hierarchy's of the world carry out multiple genocides of the poor& under develope 0
Sun Dec 17 00:39:54 +0000 2017,Michigan State '20,,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sun Dec 17 00:39:56 +0000 2017,Brooklyn / Dublin,,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sun Dec 17 00:39:56 +0000 2017,manchester || faith,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:39:58 +0000 2017,"Killingworth, Ct.",,I dont think its fair for Poor people to pay any taxes.
Sun Dec 17 00:39:59 +0000 2017,not mexico,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:40:00 +0000 2017,Chicagoland,,The horror. Those poor cars. What did they ever do to you?
Sun Dec 17 00:40:02 +0000 2017,"Kansas, USA",Washington,": US lawmakers are redistributing income from the poor to the rich, according to massive new study - Washington Post"
Sun Dec 17 00:40:02 +0000 2017,"Pennsylvania, USA",,"I'd say socialism removes the negative methods of ""motivation"" - threat of eviction, hunger, extreme dis dD"
Sun Dec 17 00:40:02 +0000 2017,"Baltimore, MD",,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:40:03 +0000 2017,ptx/ftx/huntsville,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:40:03 +0000 2017,"St Louis, MI",,Loving the white hairs Manz looking good as always sexy af!! My viper!! Poor baby getting the venom stucked out of
Sun Dec 17 00:40:06 +0000 2017,,Kerala,": Tonnes of Karnataka govt procured rice (Anna Bhagya rice) meant for poor people being smuggled in Kerala, caught"
Sun Dec 17 00:40:09 +0000 2017,Frankfurt am Main,,Jetzt krieg ich Hunger!
Sun Dec 17 00:40:10 +0000 2017,Murda Worth,,: This poor guy was found in the streets of Montreal looking so filthy that it was hard to tell that he was actually
Sun Dec 17 00:40:10 +0000 2017,"Colorado, USA",,"Poor script. Including odd humor in serious moments, silly visit to a gambling city and most of all, disappointing"
Sun Dec 17 00:40:12 +0000 2017,"Derry, Ireland",Sudan,": More than half of South Sudan's children have suffered abuse, trauma, & hunger over the past years"
Sun Dec 17 00:40:12 +0000 2017,Impossible Germany,,"Holy shit. CDC's $7 billion budget to fight diseases bans terms naming transgender communities, the poor, poc, and"
Sun Dec 17 00:40:13 +0000 2017,Miami,,I can't possibly imagine and would vote to uninsure poor people while giving a h
Sun Dec 17 00:40:13 +0000 2017,NY/CT,,"Listen, you should just admit you sound like a complete poor person and m"
Sun Dec 17 00:40:15 +0000 2017,STL,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:40:15 +0000 2017,"California, USA",,"Yea, all consequences of making poor choices."
Sun Dec 17 00:40:16 +0000 2017,Planet Earth,,The Moneyist: My mother lives in poverty and spends everything I give her should I stop paying her debts?
Sun Dec 17 00:40:17 +0000 2017,"HOUSTON, TX",,"""Adversity, if at first you don't succeed.. Put your temper to more use 'cause being broke's a poor excuse."""
Sun Dec 17 00:40:18 +0000 2017,Bella Noches,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:40:18 +0000 2017,"Brooklyn, NY",,Just say poor choice of words Im sorry move on
Sun Dec 17 00:40:18 +0000 2017,"New York City, USA",,": It's not that the photoshoot of Isabelle Duterte is illegal, it's just that rn, the poor are getting visibly poorer"
Sun Dec 17 00:40:19 +0000 2017,"Perth, Western Australia",,Awww poor rona
Sun Dec 17 00:40:20 +0000 2017,jackson mississippi,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:40:22 +0000 2017,United Kingdom,,: Wow! MP launches shocking attack on headteacher for daring to speak about poverty & hunger some of her pupils face.
Sun Dec 17 00:40:25 +0000 2017,United States,,": Apparently Im the poor black guy that got accosted by young Tories. For those who were worried, I can confirm"
Sun Dec 17 00:40:26 +0000 2017,NJ,,Wow just wow once again will decide outcome piss poor way
Sun Dec 17 00:40:26 +0000 2017,"California, USA",,Why are people so angry at poor people? The American ethos since 's s & 's scrapping we
Sun Dec 17 00:40:28 +0000 2017,IRE | UK,,: Ghetto is not an adjective. It is a noun. The world has made it an adjective as a way to mock Black people & poor
Sun Dec 17 00:40:28 +0000 2017,Dundee,,Hahah poor dog
Sun Dec 17 00:40:29 +0000 2017,Southern California,,Oh geeze! Poor guy.
Sun Dec 17 00:40:30 +0000 2017,"Southampton, England",,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sun Dec 17 00:40:31 +0000 2017,columbus georgia,,: The has announced fully subsidised free higher education & training for poor & working class SA under
Sun Dec 17 00:40:32 +0000 2017,I'm not in this world,,": Oyibo on their st date, a cup of coffee. Nigerian girls, You'll feed her like there's famine in the land That Rubb"
Sun Dec 17 00:40:34 +0000 2017,they/them,,: Ghetto is not an adjective. It is a noun. The world has made it an adjective as a way to mock Black people & poor
Sun Dec 17 00:40:34 +0000 2017,"Raytown, MO",Missouri,"thousand poor people between & in Missouri become eligible for ins under eand medicaid, collect"
Sun Dec 17 00:40:34 +0000 2017,India,,": With million impoverished annually due to health costs, represents the frontline in the battle for https://t."
Sun Dec 17 00:40:34 +0000 2017, a m s ,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:40:38 +0000 2017,#Benghazi FOUR #AMERICANS DIED,,": CA suffering from massive problems like poverty, rampant drug abuse, pedophilia in Hollywood, unemployment, debt an"
Sun Dec 17 00:40:38 +0000 2017,Stretford girl now in G. Town,,Just come down from the station to find police and paramedics. Some poor bloke has jumped off the viaduct near mine
Sun Dec 17 00:40:38 +0000 2017,"Detroit, Michigan",,: The Republican tax plan hurts: -The poor -The middle class -The sick -The disabled -The elderly It helps: -Million
Sun Dec 17 00:40:40 +0000 2017,France,,: RT : Ramin Hussein Panahi Ended his Hunger Strike
Sun Dec 17 00:40:41 +0000 2017,"Port Elizabeth, South Africa",,Also economics teaches us a lot about how we generally don't care about poor people.
Sun Dec 17 00:40:44 +0000 2017,United Kingdom,,: how does poor Mollie Sugden feel after being replaced by for the part of Mrs Slocombe in the
Sun Dec 17 00:40:46 +0000 2017,"Chicagoland, IL",,Everyone rich or poor suffering
Sun Dec 17 00:40:46 +0000 2017,Lost,,: my ajit pai drawing really annoyed a sect of right-wing folks who don't like that i made fun of the poor little guy
Sun Dec 17 00:40:46 +0000 2017,#allblacklivesmatter,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sun Dec 17 00:40:47 +0000 2017,National Capital Region,,: : Her exquisite ball gown is crimson with the blood of the poor.
Sun Dec 17 00:40:49 +0000 2017,Australia of course,,": Poor, simple George. Rooting for the man who accidently eed Democrat corruptiin while he was looking for nonexi"
Sun Dec 17 00:40:50 +0000 2017,"Rochester, NY",,": When will the realise that their poor investigation of deaths costs lives, as others die needles"
Sun Dec 17 00:40:51 +0000 2017,Lone-Star State. Wild / Free,,Poor CNN.....why so sensitive? Toughen up wimps!
Sun Dec 17 00:40:59 +0000 2017,United States,,: Isn't it Amazing that all we heard about from for years was the Debt? Now for people who
Sun Dec 17 00:40:59 +0000 2017,Kekistan,,": The western world over, white people will always find the one lone black face to put front and center. Sick patholo"
Sun Dec 17 00:41:01 +0000 2017,tu pija,,"Ew, poor God"
Sun Dec 17 00:41:01 +0000 2017,"Glasgow, Scotland",,* they are just good friends with an extreme aversion to poor ppl and
Sun Dec 17 00:41:02 +0000 2017,"Vancouver, BC",,": No, I don't feel bad for Ed Sheeran. It's time for intl to play their part in informing the public about what"
Sun Dec 17 00:41:03 +0000 2017,"Massachusetts, USA",,I love being poor and not being able to go to college next semester
Sun Dec 17 00:41:03 +0000 2017,The Netherlands,,": ""No one is too poor or too weak to be able to help somebody else"" (Andrea Riccardi) 2"
Sun Dec 17 00:41:04 +0000 2017,"Portland, OR",,: Such a pile of crap by Rupert Murdoch's poor excuse for unbiased news. Should we remind you that trump won because
Sun Dec 17 00:41:05 +0000 2017,canada,,: People say that the have a poor fanbase. Our own Owner said the market is poor. Well is taking the
Sun Dec 17 00:41:05 +0000 2017,"Currently Subsisting in Palm Beach, FL",,don't you realize that Americans are sick homeless & poor in larger numbers than ever before? We w
